,本番セッション,,練習セッション
1,./sound/sound_sample8_48k.wav,,./sound/sound_sample6_48k.wav
1,./sound/sound_sample9_48k.wav,,./sound/sound_sample31_48k.wav
1,./sound/sound_sample6_48k.wav,,./sound/sound_sample8_48k.wav
1,./sound/sound_sample12_48k.wav,,./sound/sound_sample29_48k.wav
1,./sound/sound_sample26_48k.wav,,./sound/sound_sample10_48k.wav
1,./sound/sound_sample30_48k.wav,,./sound/sound_sample35_48k.wav
1,./sound/sound_sample23_48k.wav,,./sound/sound_sample11_48k.wav
1,./sound/sound_sample24_48k.wav,,./sound/sound_sample19_48k.wav
1,./sound/sound_sample31_48k.wav,,./sound/sound_sample15_48k.wav
1,./sound/sound_sample17_48k.wav,,./sound/sound_sample28_48k.wav
2,./sound/sound_sample7_48k.wav,,
2,./sound/sound_sample15_48k.wav,,
2,./sound/sound_sample22_48k.wav,,
2,./sound/sound_sample32_48k.wav,,
2,./sound/sound_sample11_48k.wav,,
2,./sound/sound_sample25_48k.wav,,
2,./sound/sound_sample20_48k.wav,,
2,./sound/sound_sample19_48k.wav,,
2,./sound/sound_sample29_48k.wav,,
2,./sound/sound_sample28_48k.wav,,
3,./sound/sound_sample13_48k.wav,,
3,./sound/sound_sample27_48k.wav,,
3,./sound/sound_sample14_48k.wav,,
3,./sound/sound_sample10_48k.wav,,
3,./sound/sound_sample21_48k.wav,,
3,./sound/sound_sample16_48k.wav,,
3,./sound/sound_sample35_48k.wav,,
3,./sound/sound_sample33_48k.wav,,
3,./sound/sound_sample18_48k.wav,,
3,./sound/sound_sample34_48k.wav,,
